service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170813,20171119
14,1,1,1,1,1,0,0,20150712,20171121
15,0,0,0,0,0,1,0,20150712,20171121
16,0,0,0,0,0,0,1,20150712,20171121
17,0,0,0,0,0,0,0,20150712,20171121
2,0,0,0,0,0,1,0,20170813,20171119
22,1,1,1,1,1,0,0,20170810,20171231
23,0,0,0,0,0,1,0,20170810,20171231
24,0,0,0,0,0,0,1,20170810,20171231
25,0,0,0,0,0,0,0,20170810,20171231
3,0,0,0,0,0,0,1,20170813,20171119
4,0,0,0,0,0,0,0,20170813,20171119
6_merged_1041542,1,1,1,1,1,0,0,20170827,20171203
6_merged_1041546,1,1,1,1,1,0,0,20170416,20170826
7_merged_1041541,0,0,0,0,0,1,0,20170827,20171203
7_merged_1041545,0,0,0,0,0,1,0,20170416,20170826
8_merged_1041540,0,0,0,0,0,0,1,20170827,20171203
8_merged_1041544,0,0,0,0,0,0,1,20170416,20170826
9_merged_1041539,0,0,0,0,0,0,0,20170827,20171203
9_merged_1041543,0,0,0,0,0,0,0,20170416,20170826
