service_id,date,exception_type
1,20171123,2
1,20171125,2
1,20180101,2
14,20171124,2
14,20171225,2
14,20180101,2
17,20171124,1
17,20171225,1
17,20180101,1
22,20171123,2
22,20171225,2
22,20180101,2
22,20180528,2
25,20171123,1
25,20171225,1
25,20180101,1
25,20180528,1
4,20171123,1
4,20171225,1
4,20180101,1
5806,20180418,1
5807,20180419,1
5808,20180420,1
5809,20180421,1
6_merged_1064055,20171225,2
6_merged_1064055,20180101,2
6_merged_1064059,20171123,2
9_merged_1064056,20171225,1
9_merged_1064056,20180101,1
9_merged_1064060,20171123,1
